,nobc,harmony,combat_seq,limma,MMUPHin,ConQuR,ConQuR_libsize,percentile_norm
batch_aitch_r2,0.1083719963095378,0.0341543470287665,0.0455240619882509,0.0260140162440952,0.0605478700640344,0.038744997677293,0.1108318132583158,0.0045057724125324
biovar_aitch_r2,0.1648345888852198,0.0921682726452498,0.1542452913520942,0.0357458106232904,0.1554651680614877,0.149372801125743,0.144655957559728,0.005782786083166
aitch_pval_batch,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.345
aitch_pval_biovar,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.87
batch_bray_r2,0.1175451109412775,0.0466505379683796,0.089703303163063,0.029792638457716,0.0737034775152745,0.0117980139078294,0.07844920499318,0.0042944154535543
biovar_bray_r2,0.142214405965413,0.102670193963357,0.1395381322655583,0.0878072605057961,0.1329065715884382,0.1214644862648306,0.113330881411205,0.0063270161382245
batch_shannon_pval,1.5225553290123188e-19,8.935090876045133e-18,5.5959937898092855e-06,0.0086817678097781,0.0364168965399969,0.3233042295466068,0.0001703510747119,0.8830335366538199
biovar_shannon_pval,7.773480506615217e-19,6.846902860143481e-15,3.29758019289296e-11,3.63565881539322e-08,2.7199015506142315e-10,2.321576900517984e-09,1.90740180872654e-11,0.4822643148328361
bray_pval_batch,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.507
bray_pval_biovar,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.553
rf_baseline_likelihood,0.4229934924078091,0.4229934924078091,0.4229934924078091,0.4229934924078091,0.4229934924078091,0.4229934924078091,0.4229934924078091,0.4229934924078091
rf_average_acc,0.6464208242950108,0.6030368763557483,0.6442516268980477,0.5921908893709328,0.6268980477223427,0.8524945770065075,0.7678958785249458,0.4229934924078091
rf_macro_precision,0.5248891223155929,0.4559221097682636,0.5601593145311508,0.5416129032258065,0.5054456751054852,0.6703787878787879,0.8053561960713889,0.1057483731019522
rf_weighted_precision,0.5483003396586401,0.5026417894764299,0.5650139591011244,0.5882387516618851,0.5335419012054148,0.7594360086767896,0.7856714223096971,0.1789234946193552
rf_macro_recall,0.5148310023310023,0.4783799533799534,0.486013986013986,0.4032811070785754,0.4653554778554779,0.7253787878787878,0.6771901094685906,0.25
rf_weighted_recall,0.6464208242950108,0.6030368763557483,0.6442516268980477,0.5921908893709328,0.6268980477223427,0.8524945770065075,0.7678958785249458,0.4229934924078091
rf_macro_f1,0.4954555062354682,0.4528425805318541,0.4623138942020748,0.3413247840741521,0.4351574212893553,0.6944799114742934,0.7112696886516877,0.1486280487804878
rf_weighted_f1,0.577319026075761,0.5398950790010789,0.5656611408486478,0.4898078453019991,0.5463879773779053,0.8002144824392503,0.7567987056492824,0.251474789693667
rf_auc,0.6872250075065555,0.6628049569138305,0.6719683591884039,0.6192337386296732,0.6583658357288025,0.8319043195512961,0.7919490698160201,0.5
runtime,NA,2.4227631092071533,1.41085386276245,0.0638871192932129,0.916576385498047,183.725602626801,183.725602626801,4.764909029006958
